order_id,customer_id,delivery_pincode,order_timestamp,order_value,discount_pct,item_category,order_hour,distance_km,is_returned
ORD504133,CUST101875,560024,2025-01-01 00:21:30,306.63,24.4,Electronics,5,2.2,0
ORD503820,CUST100297,560059,2025-01-01 00:32:28,1194.39,14.6,Electronics,21,7.2,0
ORD503580,CUST101215,560060,2025-01-01 01:51:03,1337.22,11.3,Beauty,14,4.8,0
ORD504992,CUST100835,560062,2025-01-01 02:49:36,816.37,4.7,Home,23,3.2,1
ORD502203,CUST100898,560038,2025-01-01 03:05:11,887.46,2.4,Beauty,20,28.8,0
ORD501555,CUST101237,560030,2025-01-01 03:14:01,830.04,55.7,Fashion,22,10.3,0
ORD505516,CUST100360,560065,2025-01-01 03:18:31,592.1,10.3,Fashion,8,7.3,1
ORD500405,CUST100047,560046,2025-01-01 03:43:04,708.68,3.2,Electronics,6,7.1,1
ORD500494,CUST100103,560116,2025-01-01 04:12:18,995.82,9.6,Fashion,19,10.0,0
ORD501858,CUST101916,560065,2025-01-01 04:35:17,737.81,11.8,Home,4,1.6,0
ORD507267,CUST101509,560015,2025-01-01 04:45:43,1012.62,16.6,Grocery,18,17.8,0
ORD504603,CUST101969,560052,2025-01-01 05:02:31,1361.03,9.6,Grocery,15,10.7,0
ORD504411,CUST101892,560092,2025-01-01 05:12:58,1568.5,10.6,Home,9,22.6,0
ORD502225,CUST101521,560076,2025-01-01 06:55:40,816.98,35.6,Fashion,15,20.9,0
ORD502584,CUST101543,560102,2025-01-01 07:31:51,150.0,16.2,Beauty,13,1.3,0
ORD506807,CUST100274,560104,2025-01-01 08:03:48,2023.23,15.5,Home,19,1.0,0
ORD506962,CUST101541,560067,2025-01-01 08:04:41,617.99,21.9,Fashion,11,13.5,1
ORD502304,CUST100222,560027,2025-01-01 08:47:08,498.88,25.6,Other,11,24.2,1
ORD502961,CUST100119,560099,2025-01-01 09:04:18,281.74,14.9,Grocery,15,6.7,0
ORD503598,CUST100872,560082,2025-01-01 09:14:26,992.84,16.4,Electronics,7,27.5,1
ORD505453,CUST100102,560014,2025-01-01 11:28:45,275.26,6.3,Fashion,20,33.8,0
ORD502107,CUST101062,560078,2025-01-01 11:31:43,795.11,29.0,Home,22,14.6,1
ORD504306,CUST101160,560067,2025-01-01 12:57:27,540.91,36.8,Other,23,7.2,0
ORD505513,CUST101390,560020,2025-01-01 13:15:50,1130.73,24.8,Home,20,9.5,0
ORD502111,CUST101209,560009,2025-01-01 13:19:31,2295.06,19.4,Other,3,23.7,0
ORD505128,CUST100962,560026,2025-01-01 14:28:35,1087.46,9.0,Home,23,10.5,0
ORD507129,CUST100390,560014,2025-01-01 14:33:22,675.81,17.0,Home,17,11.2,1
ORD501599,CUST101028,560034,2025-01-01 15:04:26,931.63,16.0,Beauty,10,13.1,0
ORD500861,CUST100182,560101,2025-01-01 15:05:22,1025.86,32.6,Beauty,0,12.2,0
ORD501657,CUST100742,560119,2025-01-01 15:25:37,256.87,14.6,Home,4,13.3,0
ORD507720,CUST101639,560056,2025-01-01 16:08:08,1928.72,24.4,Grocery,9,14.1,0
ORD500696,CUST101026,560044,2025-01-01 17:27:04,626.21,31.2,Beauty,20,4.9,0
ORD501374,CUST101458,560047,2025-01-01 17:30:37,992.1,13.2,Other,11,20.9,0
ORD504588,CUST100541,560040,2025-01-01 18:33:38,420.94,4.8,Electronics,6,16.9,0
ORD505488,CUST101974,560077,2025-01-01 18:52:09,506.08,19.6,Beauty,8,19.5,1
ORD507959,CUST101312,560055,2025-01-01 19:28:18,1502.84,17.7,Grocery,15,14.8,0
ORD505765,CUST101441,560093,2025-01-01 19:47:02,785.6,26.6,Beauty,6,12.2,0
ORD505697,CUST101405,560058,2025-01-01 19:49:35,594.6,32.3,Home,23,10.6,0
ORD505584,CUST100398,560004,2025-01-01 20:58:22,322.62,26.1,Electronics,4,15.3,0
ORD501693,CUST101693,560035,2025-01-01 23:41:10,235.98,15.7,Other,17,10.8,0
ORD507151,CUST100742,560094,2025-01-02 00:13:30,1619.77,29.7,Fashion,7,22.2,0
ORD503667,CUST101752,560009,2025-01-02 00:23:21,654.67,41.9,Fashion,13,33.7,1
ORD506569,CUST101921,560110,2025-01-02 00:30:51,778.73,45.3,Fashion,5,11.5,0
ORD500974,CUST100194,560057,2025-01-02 01:42:17,1436.75,9.0,Electronics,22,15.9,0
ORD500530,CUST100089,560101,2025-01-02 01:45:38,499.45,19.3,Fashion,0,23.5,1
ORD507186,CUST101929,560074,2025-01-02 02:03:03,342.08,27.4,Beauty,20,4.6,0
ORD504515,CUST100474,560079,2025-01-02 02:04:03,517.17,10.8,Beauty,1,3.2,0
ORD504707,CUST100684,560117,2025-01-02 02:39:17,1282.59,27.2,Electronics,11,13.3,1
ORD503251,CUST100440,560022,2025-01-02 03:25:37,1221.89,7.5,Beauty,3,14.6,0
ORD501242,CUST101035,560027,2025-01-02 04:03:25,489.96,23.9,Fashion,17,6.9,0
ORD505532,CUST101968,560065,2025-01-02 04:08:43,665.84,26.1,Fashion,1,4.6,1
ORD506460,CUST100772,560014,2025-01-02 05:07:49,1628.29,18.0,Beauty,0,14.4,0
ORD503516,CUST101804,560100,2025-01-02 05:57:17,500.51,6.9,Home,19,17.3,0
ORD506725,CUST100455,560100,2025-01-02 06:11:15,526.93,13.6,Fashion,12,11.6,1
ORD504197,CUST100047,560095,2025-01-02 07:40:57,759.58,21.3,Beauty,22,11.5,1
