order_id,customer_id,delivery_pincode,order_timestamp,order_value,discount_pct,item_category,order_hour,is_late_night,distance_km,customer_orders_before,customer_return_rate_smoothed,is_first_order_for_customer,pincode_orders_before,pincode_return_rate_smoothed,is_returned
ORD504133,CUST101875,560024,2025-01-01 00:21:30,306.63,24.4,Electronics,5,0,2.2,0,0.15,1,0,0.15,0
ORD503820,CUST100297,560059,2025-01-01 00:32:28,1194.39,14.6,Electronics,21,0,7.2,0,0.0,1,0,0.0,0
ORD503580,CUST101215,560060,2025-01-01 01:51:03,1337.22,11.3,Beauty,14,0,4.8,0,0.0,1,0,0.0,0
ORD504992,CUST100835,560062,2025-01-01 02:49:36,816.37,4.7,Home,23,1,3.2,0,0.0,1,0,0.0,1
ORD502203,CUST100898,560038,2025-01-01 03:05:11,887.46,2.4,Beauty,20,0,28.8,0,0.25,1,0,0.25,0
ORD501555,CUST101237,560030,2025-01-01 03:14:01,830.04,55.7,Fashion,22,1,10.3,0,0.2,1,0,0.2,0
ORD505516,CUST100360,560065,2025-01-01 03:18:31,592.1,10.3,Fashion,8,0,7.3,0,0.16666666666666666,1,0,0.16666666666666666,1
ORD500405,CUST100047,560046,2025-01-01 03:43:04,708.68,3.2,Electronics,6,0,7.1,0,0.2857142857142857,1,0,0.2857142857142857,1
ORD500494,CUST100103,560116,2025-01-01 04:12:18,995.82,9.6,Fashion,19,0,10.0,0,0.375,1,0,0.375,0
ORD501858,CUST101916,560065,2025-01-01 04:35:17,737.81,11.8,Home,4,1,1.6,0,0.3333333333333333,1,1,0.36507936507936506,0
ORD507267,CUST101509,560015,2025-01-01 04:45:43,1012.62,16.6,Grocery,18,0,17.8,0,0.3,1,0,0.3,0
ORD504603,CUST101969,560052,2025-01-01 05:02:31,1361.03,9.6,Grocery,15,0,10.7,0,0.2727272727272727,1,0,0.2727272727272727,0
ORD504411,CUST101892,560092,2025-01-01 05:12:58,1568.5,10.6,Home,9,0,22.6,0,0.25,1,0,0.25,0
ORD502225,CUST101521,560076,2025-01-01 06:55:40,816.98,35.6,Fashion,15,0,20.9,0,0.23076923076923078,1,0,0.23076923076923078,0
ORD502584,CUST101543,560102,2025-01-01 07:31:51,150.0,16.2,Beauty,13,0,1.3,0,0.21428571428571427,1,0,0.21428571428571427,0
ORD506807,CUST100274,560104,2025-01-01 08:03:48,2023.23,15.5,Home,19,0,1.0,0,0.2,1,0,0.2,0
ORD506962,CUST101541,560067,2025-01-01 08:04:41,617.99,21.9,Fashion,11,0,13.5,0,0.1875,1,0,0.1875,1
ORD502304,CUST100222,560027,2025-01-01 08:47:08,498.88,25.6,Other,11,0,24.2,0,0.23529411764705882,1,0,0.23529411764705882,1
ORD502961,CUST100119,560099,2025-01-01 09:04:18,281.74,14.9,Grocery,15,0,6.7,0,0.2777777777777778,1,0,0.2777777777777778,0
ORD503598,CUST100872,560082,2025-01-01 09:14:26,992.84,16.4,Electronics,7,0,27.5,0,0.2631578947368421,1,0,0.2631578947368421,1
ORD505453,CUST100102,560014,2025-01-01 11:28:45,275.26,6.3,Fashion,20,0,33.8,0,0.3,1,0,0.3,0
ORD502107,CUST101062,560078,2025-01-01 11:31:43,795.11,29.0,Home,22,1,14.6,0,0.2857142857142857,1,0,0.2857142857142857,1
ORD504306,CUST101160,560067,2025-01-01 12:57:27,540.91,36.8,Other,23,1,7.2,0,0.3181818181818182,1,1,0.35064935064935066,0
ORD505513,CUST101390,560020,2025-01-01 13:15:50,1130.73,24.8,Home,20,0,9.5,0,0.30434782608695654,1,0,0.30434782608695654,0
ORD502111,CUST101209,560009,2025-01-01 13:19:31,2295.06,19.4,Other,3,1,23.7,0,0.2916666666666667,1,0,0.2916666666666667,0
ORD505128,CUST100962,560026,2025-01-01 14:28:35,1087.46,9.0,Home,23,1,10.5,0,0.28,1,0,0.28,0
ORD507129,CUST100390,560014,2025-01-01 14:33:22,675.81,17.0,Home,17,0,11.2,0,0.2692307692307692,1,1,0.2564102564102564,1
ORD501599,CUST101028,560034,2025-01-01 15:04:26,931.63,16.0,Beauty,10,0,13.1,0,0.2962962962962963,1,0,0.2962962962962963,0
ORD500861,CUST100182,560101,2025-01-01 15:05:22,1025.86,32.6,Beauty,0,1,12.2,0,0.2857142857142857,1,0,0.2857142857142857,0
ORD501657,CUST100742,560119,2025-01-01 15:25:37,256.87,14.6,Home,4,1,13.3,0,0.27586206896551724,1,0,0.27586206896551724,0
ORD507720,CUST101639,560056,2025-01-01 16:08:08,1928.72,24.4,Grocery,9,0,14.1,0,0.26666666666666666,1,0,0.26666666666666666,0
ORD500696,CUST101026,560044,2025-01-01 17:27:04,626.21,31.2,Beauty,20,0,4.9,0,0.25806451612903225,1,0,0.25806451612903225,0
ORD501374,CUST101458,560047,2025-01-01 17:30:37,992.1,13.2,Other,11,0,20.9,0,0.25,1,0,0.25,0
ORD504588,CUST100541,560040,2025-01-01 18:33:38,420.94,4.8,Electronics,6,0,16.9,0,0.24242424242424243,1,0,0.24242424242424243,0
ORD505488,CUST101974,560077,2025-01-01 18:52:09,506.08,19.6,Beauty,8,0,19.5,0,0.23529411764705882,1,0,0.23529411764705882,1
ORD507959,CUST101312,560055,2025-01-01 19:28:18,1502.84,17.7,Grocery,15,0,14.8,0,0.2571428571428571,1,0,0.2571428571428571,0
ORD505765,CUST101441,560093,2025-01-01 19:47:02,785.6,26.6,Beauty,6,0,12.2,0,0.25,1,0,0.25,0
ORD505697,CUST101405,560058,2025-01-01 19:49:35,594.6,32.3,Home,23,1,10.6,0,0.24324324324324326,1,0,0.24324324324324326,0
ORD505584,CUST100398,560004,2025-01-01 20:58:22,322.62,26.1,Electronics,4,1,15.3,0,0.23684210526315788,1,0,0.23684210526315788,0
ORD501693,CUST101693,560035,2025-01-01 23:41:10,235.98,15.7,Other,17,0,10.8,0,0.23076923076923078,1,0,0.23076923076923078,0
ORD507151,CUST100742,560094,2025-01-02 00:13:30,1619.77,29.7,Fashion,7,0,22.2,1,0.1875,0,0,0.225,0
ORD503667,CUST101752,560009,2025-01-02 00:23:21,654.67,41.9,Fashion,13,0,33.7,0,0.21951219512195125,1,1,0.20905923344947736,1
ORD506569,CUST101921,560110,2025-01-02 00:30:51,778.73,45.3,Fashion,5,0,11.5,0,0.23809523809523808,1,0,0.23809523809523808,0
ORD500974,CUST100194,560057,2025-01-02 01:42:17,1436.75,9.0,Electronics,22,1,15.9,0,0.23255813953488375,1,0,0.23255813953488375,0
ORD500530,CUST100089,560101,2025-01-02 01:45:38,499.45,19.3,Fashion,0,1,23.5,0,0.22727272727272724,1,1,0.21645021645021642,1
ORD507186,CUST101929,560074,2025-01-02 02:03:03,342.08,27.4,Beauty,20,0,4.6,0,0.2444444444444444,1,0,0.2444444444444444,0
ORD504515,CUST100474,560079,2025-01-02 02:04:03,517.17,10.8,Beauty,1,1,3.2,0,0.2391304347826087,1,0,0.2391304347826087,0
ORD504707,CUST100684,560117,2025-01-02 02:39:17,1282.59,27.2,Electronics,11,0,13.3,0,0.23404255319148937,1,0,0.23404255319148937,1
ORD503251,CUST100440,560022,2025-01-02 03:25:37,1221.89,7.5,Beauty,3,1,14.6,0,0.25,1,0,0.25,0
ORD501242,CUST101035,560027,2025-01-02 04:03:25,489.96,23.9,Fashion,17,0,6.9,0,0.24489795918367346,1,1,0.28085519922254615,0
ORD505532,CUST101968,560065,2025-01-02 04:08:43,665.84,26.1,Fashion,1,1,4.6,0,0.24,1,2,0.2636363636363636,1
ORD506460,CUST100772,560014,2025-01-02 05:07:49,1628.29,18.0,Beauty,0,1,14.4,0,0.2549019607843137,1,2,0.27718360071301246,0
ORD503516,CUST101804,560100,2025-01-02 05:57:17,500.51,6.9,Home,19,0,17.3,0,0.25,1,0,0.25,0
ORD506725,CUST100455,560100,2025-01-02 06:11:15,526.93,13.6,Fashion,12,0,11.6,0,0.24528301886792453,1,1,0.23360287511230907,1
ORD504197,CUST100047,560095,2025-01-02 07:40:57,759.58,21.3,Beauty,22,1,11.5,1,0.38271604938271603,0,0,0.25925925925925924,1
ORD504633,CUST100101,560006,2025-01-02 07:46:14,406.94,21.4,Home,8,0,4.4,0,0.2727272727272727,1,0,0.2727272727272727,0
ORD505657,CUST100541,560072,2025-01-02 07:53:11,505.49,36.3,Beauty,10,0,26.2,1,0.2232142857142857,0,0,0.26785714285714285,1
ORD501825,CUST101884,560049,2025-01-02 08:05:28,502.54,22.2,Fashion,22,1,1.7,0,0.2807017543859649,1,0,0.2807017543859649,0
ORD505433,CUST100151,560111,2025-01-02 08:27:36,935.66,2.1,Fashion,0,1,18.7,0,0.27586206896551724,1,0,0.27586206896551724,1
ORD500201,CUST101833,560006,2025-01-02 08:30:23,1750.25,26.3,Beauty,3,1,10.8,0,0.288135593220339,1,1,0.27441485068603716,0
ORD506087,CUST101106,560053,2025-01-02 08:34:13,1058.68,11.7,Home,15,0,6.4,0,0.2833333333333333,1,0,0.2833333333333333,0
ORD507132,CUST101819,560074,2025-01-02 08:41:57,768.08,5.6,Fashion,9,0,29.6,0,0.2786885245901639,1,1,0.2654176424668228,0
ORD500496,CUST101467,560003,2025-01-02 09:08:20,999.25,1.6,Home,3,1,8.9,0,0.27419354838709675,1,0,0.27419354838709675,0
ORD504012,CUST100380,560108,2025-01-02 09:29:38,661.03,17.1,Fashion,22,1,13.3,0,0.2698412698412698,1,0,0.2698412698412698,0
ORD504377,CUST101061,560052,2025-01-02 09:37:06,621.96,12.9,Fashion,6,0,26.7,0,0.265625,1,1,0.25297619047619047,0
ORD500087,CUST101265,560114,2025-01-02 09:44:35,740.21,20.8,Fashion,21,0,3.7,0,0.26153846153846155,1,0,0.26153846153846155,0
ORD506256,CUST100532,560034,2025-01-02 10:12:50,530.56,28.5,Fashion,1,1,1.8,0,0.25757575757575757,1,1,0.2453102453102453,0
ORD500772,CUST100534,560092,2025-01-02 10:31:05,389.97,9.9,Beauty,14,0,5.3,0,0.2537313432835821,1,1,0.2416488983653163,1
ORD501529,CUST100343,560069,2025-01-02 10:56:46,308.21,12.9,Fashion,22,1,14.9,0,0.2647058823529412,1,0,0.2647058823529412,0
ORD501367,CUST101258,560097,2025-01-02 11:17:18,2151.29,9.3,Beauty,23,1,15.5,0,0.2608695652173913,1,0,0.2608695652173913,0
ORD500872,CUST100152,560111,2025-01-02 11:48:09,270.24,18.1,Fashion,22,1,22.9,0,0.2571428571428571,1,1,0.2925170068027211,0
ORD503999,CUST101007,560053,2025-01-02 12:00:29,537.8,1.9,Grocery,0,1,20.3,0,0.2535211267605634,1,1,0.24144869215291753,0
ORD507461,CUST100207,560015,2025-01-02 13:52:10,846.55,39.4,Fashion,5,0,1.6,0,0.25,1,1,0.23809523809523808,0
ORD502661,CUST100414,560053,2025-01-02 15:10:52,589.57,29.9,Fashion,17,0,8.5,0,0.24657534246575344,1,2,0.22415940224159403,1
ORD500517,CUST100089,560056,2025-01-02 15:46:38,657.82,26.2,Home,16,0,15.3,1,0.38063063063063063,0,1,0.24453024453024452,0
ORD501856,CUST101239,560058,2025-01-02 18:25:46,595.83,24.0,Grocery,15,0,11.4,0,0.25333333333333335,1,1,0.2412698412698413,0
ORD506145,CUST100551,560095,2025-01-02 19:03:28,349.03,21.3,Other,20,0,13.4,0,0.25,1,1,0.2857142857142857,0
ORD507495,CUST101480,560027,2025-01-02 19:32:32,569.98,6.1,Fashion,0,1,23.6,0,0.24675324675324678,1,2,0.269775678866588,0
ORD500511,CUST101058,560097,2025-01-02 19:57:00,854.44,22.6,Fashion,18,0,1.0,0,0.24358974358974356,1,1,0.23199023199023197,0
ORD506678,CUST100231,560079,2025-01-02 20:52:33,800.18,44.8,Beauty,19,0,13.3,0,0.24050632911392406,1,1,0.22905364677516576,1
ORD501291,CUST101019,560088,2025-01-02 21:29:01,1382.8,49.9,Other,12,0,12.4,0,0.25,1,0,0.25,1
ORD507748,CUST101731,560092,2025-01-02 22:02:51,1477.91,3.9,Other,12,0,4.8,0,0.25925925925925924,1,2,0.28114478114478114,0
ORD503319,CUST100742,560116,2025-01-02 22:11:35,1263.29,17.1,Beauty,1,1,1.0,2,0.18292682926829268,0,1,0.24390243902439024,0
ORD502921,CUST100243,560064,2025-01-02 23:02:58,1180.03,15.7,Home,16,0,11.7,0,0.25301204819277107,1,0,0.25301204819277107,0
ORD504631,CUST100569,560073,2025-01-02 23:13:44,623.96,33.2,Electronics,20,0,14.8,0,0.25,1,0,0.25,1
ORD501544,CUST101916,560010,2025-01-02 23:30:14,615.28,39.1,Fashion,14,0,18.6,1,0.21568627450980393,0,0,0.25882352941176473,0
ORD504365,CUST100046,560071,2025-01-02 23:50:49,460.21,20.2,Electronics,5,0,13.2,0,0.2558139534883721,1,0,0.2558139534883721,1
ORD500001,CUST100747,560038,2025-01-02 23:52:42,1112.67,26.9,Fashion,10,0,1.0,0,0.26436781609195403,1,1,0.25177887246852765,0
ORD505151,CUST100204,560004,2025-01-03 00:25:56,294.41,18.9,Grocery,16,0,1.6,0,0.26136363636363635,1,1,0.2489177489177489,0
ORD502412,CUST101463,560014,2025-01-03 00:35:18,1163.14,14.5,Beauty,21,0,2.1,0,0.25842696629213485,1,3,0.26819736199316074,1
ORD504381,CUST100837,560055,2025-01-03 01:19:38,343.86,22.2,Grocery,10,0,13.2,0,0.26666666666666666,1,1,0.25396825396825395,0
ORD505499,CUST100988,560069,2025-01-03 02:46:08,1146.06,7.8,Other,7,0,18.5,0,0.26373626373626374,1,1,0.25117739403453687,0
ORD500547,CUST100550,560080,2025-01-03 02:47:07,1342.19,24.6,Beauty,3,1,32.4,0,0.2608695652173913,1,0,0.2608695652173913,1
ORD501777,CUST101477,560084,2025-01-03 03:58:02,158.41,10.9,Fashion,17,0,11.0,0,0.26881720430107525,1,0,0.26881720430107525,0
ORD507595,CUST101959,560052,2025-01-03 04:24:47,395.52,14.0,Grocery,21,0,8.7,0,0.26595744680851063,1,2,0.24177949709864602,0
ORD503724,CUST101273,560021,2025-01-03 05:49:02,479.42,9.4,Fashion,3,1,15.4,0,0.2631578947368421,1,0,0.2631578947368421,0
ORD500071,CUST101875,560065,2025-01-03 06:44:39,659.72,25.0,Fashion,3,1,16.4,1,0.21701388888888892,0,3,0.3134057971014493,0
ORD506781,CUST101637,560073,2025-01-03 07:35:13,705.91,7.3,Fashion,20,0,11.7,0,0.25773195876288657,1,1,0.29307805596465386,1
ORD501065,CUST101467,560005,2025-01-03 07:54:12,465.72,3.3,Fashion,1,1,2.1,1,0.22108843537414968,0,0,0.2653061224489796,0
ORD506515,CUST100403,560045,2025-01-03 09:31:25,590.72,43.3,Home,19,0,11.1,0,0.26262626262626265,1,0,0.26262626262626265,0
ORD507731,CUST100835,560075,2025-01-03 09:58:44,532.44,26.1,Beauty,13,0,13.3,1,0.3833333333333333,0,0,0.26,0
ORD504155,CUST101669,560119,2025-01-03 10:15:26,358.62,16.8,Fashion,1,1,25.9,0,0.25742574257425743,1,1,0.24516737388024518,1
ORD506982,CUST101390,560042,2025-01-03 10:53:14,874.2,9.6,Grocery,3,1,21.4,1,0.22058823529411764,0,0,0.2647058823529412,1
ORD501231,CUST100663,560023,2025-01-03 11:20:07,632.23,16.6,Home,7,0,12.9,0,0.27184466019417475,1,0,0.27184466019417475,0
ORD501082,CUST101561,560017,2025-01-03 11:22:16,1605.25,3.9,Home,2,1,10.3,0,0.2692307692307692,1,0,0.2692307692307692,0
ORD500188,CUST101117,560067,2025-01-03 11:37:11,1031.74,22.5,Fashion,16,0,15.3,0,0.26666666666666666,1,2,0.28787878787878785,1
ORD502042,CUST100203,560042,2025-01-03 12:35:48,275.64,32.7,Home,7,0,16.8,0,0.27358490566037735,1,1,0.3081761006289308,0
ORD504096,CUST101777,560085,2025-01-03 12:51:13,718.6,39.4,Fashion,14,0,22.0,0,0.27102803738317754,1,0,0.27102803738317754,0
ORD502149,CUST100465,560075,2025-01-03 13:00:03,247.68,5.5,Other,8,0,2.2,0,0.26851851851851855,1,1,0.2557319223985891,0
ORD505837,CUST100632,560014,2025-01-03 13:56:56,625.51,8.6,Grocery,6,0,1.0,0,0.26605504587155965,1,4,0.30504587155963303,0
ORD506003,CUST101261,560113,2025-01-03 14:22:12,642.67,34.8,Home,0,1,1.0,0,0.2636363636363636,1,0,0.2636363636363636,0
ORD504902,CUST100059,560066,2025-01-03 14:51:51,1061.15,9.5,Fashion,8,0,2.4,0,0.26126126126126126,1,0,0.26126126126126126,1
ORD507150,CUST101684,560079,2025-01-03 15:42:03,664.83,13.7,Grocery,2,1,21.6,0,0.26785714285714285,1,2,0.2889610389610389,0
ORD500062,CUST100206,560002,2025-01-03 15:51:31,1574.21,52.2,Grocery,3,1,22.1,0,0.26548672566371684,1,0,0.26548672566371684,0
ORD502233,CUST100774,560022,2025-01-03 16:10:17,183.33,13.0,Home,0,1,4.1,0,0.2631578947368421,1,1,0.2506265664160401,0
ORD504955,CUST101563,560087,2025-01-03 16:20:40,486.46,34.7,Fashion,12,0,13.1,0,0.2608695652173913,1,0,0.2608695652173913,0
ORD506972,CUST101904,560019,2025-01-03 17:29:32,1009.88,46.6,Electronics,6,0,1.0,0,0.25862068965517243,1,0,0.25862068965517243,1
ORD506514,CUST101990,560067,2025-01-03 17:40:05,597.73,13.9,Home,10,0,18.9,0,0.26495726495726496,1,3,0.31735414344109997,1
ORD503490,CUST101541,560105,2025-01-03 17:40:41,337.84,29.6,Electronics,7,0,26.0,1,0.3926553672316384,0,0,0.2711864406779661,0
ORD500212,CUST100759,560008,2025-01-03 19:19:01,1428.22,16.4,Fashion,21,0,4.0,0,0.2689075630252101,1,0,0.2689075630252101,0
ORD502075,CUST100524,560019,2025-01-03 20:36:01,1403.93,10.1,Electronics,4,1,7.3,0,0.26666666666666666,1,1,0.30158730158730157,0
ORD502744,CUST100523,560106,2025-01-03 22:29:48,918.54,13.3,Grocery,4,1,9.2,0,0.2644628099173554,1,0,0.2644628099173554,1
ORD505625,CUST100918,560013,2025-01-03 22:30:03,352.62,23.7,Beauty,3,1,18.9,0,0.27049180327868855,1,0,0.27049180327868855,0
ORD503970,CUST101061,560040,2025-01-03 23:08:02,447.55,18.1,Fashion,2,1,10.9,1,0.22357723577235775,0,1,0.25551684088269455,0
ORD501213,CUST100891,560077,2025-01-03 23:36:50,1047.94,25.8,Beauty,17,0,6.6,0,0.2661290322580645,1,1,0.3010752688172043,0
ORD501685,CUST100014,560025,2025-01-03 23:49:20,428.57,30.8,Fashion,17,0,7.5,0,0.264,1,0,0.264,0
ORD500461,CUST100194,560063,2025-01-04 00:00:24,908.53,5.3,Fashion,13,0,20.3,1,0.21825396825396826,0,0,0.2619047619047619,0
ORD502852,CUST100068,560050,2025-01-04 00:41:36,811.57,5.4,Other,19,0,16.5,0,0.25984251968503935,1,0,0.25984251968503935,0
ORD501632,CUST101786,560021,2025-01-04 00:58:37,178.39,11.8,Other,2,1,5.1,0,0.2578125,1,1,0.24553571428571427,0
ORD504687,CUST100773,560086,2025-01-04 01:16:09,1111.47,31.9,Fashion,13,0,1.2,0,0.2558139534883721,1,0,0.2558139534883721,0
ORD506060,CUST100872,560053,2025-01-04 02:43:37,200.65,28.0,Beauty,21,0,21.0,1,0.3782051282051282,0,3,0.26421404682274247,1
ORD506813,CUST100271,560109,2025-01-04 02:48:30,343.49,17.3,Home,7,0,9.5,0,0.2595419847328244,1,0,0.2595419847328244,0
ORD501887,CUST101161,560106,2025-01-04 03:03:26,342.14,2.2,Beauty,22,1,1.0,0,0.25757575757575757,1,1,0.29292929292929293,0
ORD505405,CUST101993,560004,2025-01-04 03:22:20,674.79,9.3,Beauty,5,0,11.2,0,0.2556390977443609,1,2,0.23239917976760083,0
ORD502787,CUST100204,560081,2025-01-04 03:28:55,803.16,21.7,Fashion,2,1,12.6,1,0.21144278606965175,0,0,0.2537313432835821,0
ORD503514,CUST101405,560016,2025-01-04 04:09:49,664.52,14.4,Electronics,17,0,12.6,1,0.2098765432098765,0,0,0.2518518518518518,0
ORD505322,CUST101013,560078,2025-01-04 05:30:32,778.34,15.7,Home,18,0,23.1,0,0.25,1,1,0.2857142857142857,0
ORD506496,CUST101034,560108,2025-01-04 05:30:54,418.32,10.6,Home,8,0,15.3,0,0.24817518248175183,1,1,0.23635731664928747,0
ORD503002,CUST101087,560005,2025-01-04 06:23:20,1147.69,18.6,Other,19,0,10.2,0,0.24637681159420294,1,1,0.23464458247066947,0
ORD507886,CUST100774,560102,2025-01-04 06:36:55,610.93,16.5,Beauty,8,0,5.8,1,0.20383693045563547,0,1,0.23295649194929768,0
ORD502747,CUST101730,560044,2025-01-04 09:23:17,628.73,12.4,Grocery,23,1,8.4,0,0.24285714285714283,1,1,0.2312925170068027,0
ORD502645,CUST100045,560098,2025-01-04 10:57:11,842.09,10.9,Electronics,9,0,13.3,0,0.24113475177304963,1,0,0.24113475177304963,0
ORD503264,CUST101330,560080,2025-01-04 12:24:20,1793.5,21.8,Fashion,12,0,7.6,0,0.23943661971830985,1,1,0.27565392354124746,1
ORD503434,CUST101207,560011,2025-01-04 13:04:06,314.37,21.3,Beauty,0,1,9.0,0,0.24475524475524474,1,0,0.24475524475524474,1
ORD504362,CUST101239,560073,2025-01-04 13:17:26,513.0,14.3,Electronics,1,1,31.3,1,0.20833333333333334,0,2,0.3181818181818182,0
ORD501655,CUST100103,560070,2025-01-04 15:10:32,1102.48,12.1,Fashion,1,1,5.5,1,0.20689655172413793,0,0,0.2482758620689655,0
ORD506235,CUST100177,560099,2025-01-04 15:35:42,675.62,25.3,Other,15,0,18.1,0,0.24657534246575344,1,1,0.23483365949119375,0
ORD502896,CUST101488,560110,2025-01-04 16:04:54,315.96,44.0,Electronics,8,0,15.8,0,0.24489795918367346,1,1,0.23323615160349856,0
ORD507039,CUST100572,560031,2025-01-04 16:20:41,731.42,19.1,Beauty,21,0,24.9,0,0.24324324324324326,1,0,0.24324324324324326,1
ORD501329,CUST101932,560092,2025-01-04 16:35:18,479.14,9.1,Fashion,7,0,11.7,0,0.24832214765100674,1,3,0.25941056317478844,0
ORD500837,CUST100131,560080,2025-01-04 17:34:31,652.07,32.5,Grocery,18,0,1.0,0,0.24666666666666667,1,2,0.3151515151515152,0
ORD502934,CUST100410,560115,2025-01-04 20:40:01,294.46,5.8,Fashion,11,0,4.0,0,0.24503311258278146,1,0,0.24503311258278146,1
ORD504386,CUST100980,560050,2025-01-04 21:18:39,437.53,29.6,Grocery,8,0,19.7,0,0.25,1,1,0.23809523809523808,1
ORD504511,CUST100240,560097,2025-01-04 22:22:39,260.25,14.5,Fashion,7,0,3.5,0,0.2549019607843137,1,2,0.23172905525846701,0
ORD506810,CUST101084,560004,2025-01-04 23:05:01,488.93,1.6,Fashion,14,0,14.9,0,0.2532467532467532,1,3,0.22021456804065498,0
ORD505626,CUST100617,560118,2025-01-05 00:30:02,522.4,43.9,Home,15,0,9.3,0,0.25161290322580643,1,0,0.25161290322580643,0
ORD505068,CUST101633,560106,2025-01-05 01:32:52,323.2,10.2,Fashion,16,0,11.6,0,0.25,1,2,0.2727272727272727,0
ORD504907,CUST100296,560082,2025-01-05 01:36:42,2481.57,34.2,Fashion,12,0,15.0,0,0.2484076433121019,1,1,0.28419775553533516,0
ORD506583,CUST101417,560064,2025-01-05 03:09:19,448.11,9.3,Fashion,4,1,1.7,0,0.24683544303797472,1,1,0.23508137432188067,0
ORD500798,CUST100989,560051,2025-01-05 03:37:41,497.67,4.7,Other,20,0,28.1,0,0.24528301886792453,1,0,0.24528301886792453,0
ORD502409,CUST100306,560014,2025-01-05 04:11:47,559.6,9.9,Electronics,10,0,13.3,0,0.24375,1,5,0.275,0
ORD501597,CUST100975,560093,2025-01-05 05:05:24,549.13,31.4,Grocery,12,0,13.7,0,0.24223602484472054,1,1,0.230700976042591,0
ORD503327,CUST101183,560072,2025-01-05 06:15:41,244.09,32.2,Home,13,0,8.2,0,0.24074074074074076,1,1,0.2768959435626102,1
ORD506987,CUST101372,560048,2025-01-05 06:21:50,1108.82,7.7,Fashion,12,0,6.0,0,0.24539877300613497,1,0,0.24539877300613497,0
ORD501379,CUST101429,560076,2025-01-05 06:30:33,666.01,21.2,Home,5,0,13.3,0,0.24390243902439024,1,1,0.23228803716608595,0
ORD501976,CUST100307,560095,2025-01-05 07:53:25,344.98,10.9,Electronics,0,1,10.8,0,0.24242424242424243,1,2,0.26584022038567495,0
ORD503652,CUST101335,560063,2025-01-05 07:56:16,917.25,27.7,Other,5,0,22.0,0,0.24096385542168672,1,1,0.22948938611589212,0
ORD507222,CUST101011,560043,2025-01-05 08:10:40,325.81,6.8,Electronics,5,0,4.4,0,0.23952095808383236,1,0,0.23952095808383236,0
ORD504258,CUST101154,560080,2025-01-05 09:00:10,434.56,19.2,Electronics,12,0,8.6,0,0.23809523809523808,1,3,0.2939958592132505,0
ORD504879,CUST100404,560097,2025-01-05 10:36:30,2278.79,6.2,Home,2,1,5.9,0,0.23668639053254434,1,3,0.20581425263699507,0
ORD504776,CUST100324,560043,2025-01-05 11:57:26,742.75,48.5,Fashion,18,0,4.6,0,0.23529411764705882,1,1,0.22408963585434175,0
ORD507686,CUST101298,560048,2025-01-05 12:12:33,626.75,45.2,Electronics,19,0,15.3,0,0.23391812865497075,1,1,0.2227791701475912,1
ORD504494,CUST100515,560029,2025-01-05 12:22:34,625.58,23.4,Beauty,3,1,11.5,0,0.23837209302325585,1,0,0.23837209302325585,0
ORD501029,CUST101495,560068,2025-01-05 12:50:30,359.86,17.5,Home,23,1,13.7,0,0.23699421965317918,1,0,0.23699421965317918,0
ORD502985,CUST101479,560013,2025-01-05 12:53:09,299.34,46.5,Grocery,9,0,18.8,0,0.23563218390804597,1,1,0.22441160372194854,0
ORD502639,CUST101467,560117,2025-01-05 13:31:58,410.31,6.5,Grocery,12,0,3.5,2,0.1673469387755102,0,1,0.2707482993197279,0
ORD500737,CUST100045,560079,2025-01-05 14:02:11,1671.79,7.4,Other,19,0,20.9,1,0.19412878787878787,0,3,0.24604743083003952,0
ORD501559,CUST100064,560018,2025-01-05 14:20:28,314.65,22.7,Electronics,12,0,10.6,0,0.23163841807909608,1,0,0.23163841807909608,0
ORD501528,CUST101013,560079,2025-01-05 14:49:02,310.11,9.9,Electronics,1,1,26.2,1,0.19194756554307116,0,4,0.23361423220973784,0
